"prs_id","prs_originelenaam","prs_achternaam","prs_tussenvoegsels","prs_initialen","prs_voornamen","rol_functie","prs_UUID","vwz_archivelink"
"1","Aalbach, J.W. van","Aalbach","van","J.W.","J.W.","officier","f7613a18-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/157//2///"
"2","Aamacher, J.W.","Aamacher","","J.W.","J.W.","soldaat","f76566c4-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/176//69///"
"3","Aan, Peter","Aan","","","Peter","onderofficier","f7656eee-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/160//1///"
"4","Aar, Jozef van","Aar","van","","Jozef","soldaat","f7657344-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/174//33///|NL-HaNA/2.01.15/169//250///|NL-HaNA/2.01.15/166//1///"
"5","Aardenburg, P.","Aardenburg","","P.","P.","officier","f765786c-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/184//17///"
"6","Aardpot, Johannes","Aardpot","","","Johannes","onderofficier","f7657ef2-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/185//6///|NL-HaNA/2.01.15/183//14///"
"7","Aards, Jan","Aards","","","Jan","soldaat","f7658492-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/163//1///"
"8","Aardsen, Henri","Aardsen","","","Henri","soldaat","f7658afa-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/176//78///"
"9","Aarth, Jan van","Aarth","van","","Jan","soldaat","f76591d0-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/166//2///"
"10","Aarts, Jan","Aarts","","","Jan","soldaat","f76596ee-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/171//1///|NL-HaNA/2.01.15/169//56///|NL-HaNA/2.01.15/160//1///"
"11","Aarts, Mathes","Aarts","","","Mathes","soldaat","f7659d06-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//244///|NL-HaNA/2.01.15/160//2///"
"12","Aath, J. van","Aath","van","J.","J.","soldaat","f765a22e-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//179///"
"13","Abekkers, Anthoon","Abekkers","","","Anthoon","soldaat","f765a81e-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//88///|NL-HaNA/2.01.15/160//1///"
"14","Abel, Jan","Abel","","","Jan","soldaat","f765acc4-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//48///|NL-HaNA/2.01.15/168//3///|NL-HaNA/2.01.15/160//1///"
