,Alexander,NL-HaNA/2.01.15/73//3//|NL-HaNA/2.01.15/118//6//,381c5c7c-001d-102e-86d7-0050569c51dd
Gerhard,Boeft,NL-HaNA/2.01.15/118//8//,38801a82-001d-102e-86d7-0050569c51dd
Gabriel,Bosc de la Calmette,NL-HaNA/2.01.15/72//32//|NL-HaNA/2.01.15/73//5//|NL-HaNA/2.01.15/118//2//,38983176-001d-102e-86d7-0050569c51dd
Ernst Christiaan,Buchner,NL-HaNA/2.01.15/68//18//|NL-HaNA/2.01.15/69//4//|NL-HaNA/2.01.15/118//6//,38c54198-001d-102e-86d7-0050569c51dd
Gabriel Bosc,Calmette,NL-HaNA/2.01.15/118//2//,38cf382e-001d-102e-86d7-0050569c51dd
Jan,Erzey,NL-HaNA/2.01.15/72//85//|NL-HaNA/2.01.15/73//36//|NL-HaNA/2.01.15/118//5//|NL-HaNA/2.01.15/121//klapper//,3948999e-001d-102e-86d7-0050569c51dd
Henrich Philip,Faber,NL-HaNA/2.01.15/48//3//|NL-HaNA/2.01.15/48//7//|NL-HaNA/2.01.15/48//34//|NL-HaNA/2.01.15/118//2//|NL-HaNA/2.01.15/138//147//|NL-HaNA/2.01.15/138//368//|NL-HaNA/2.01.15/139//94//,39537062-001d-102e-86d7-0050569c51dd
Guillaume,Gayat,NL-HaNA/2.01.15/6//51//|NL-HaNA/2.01.15/6//53//|NL-HaNA/2.01.15/24//140//|NL-HaNA/2.01.15/72//102//|NL-HaNA/2.01.15/73//50//|NL-HaNA/2.01.15/118//4//,397f3148-001d-102e-86d7-0050569c51dd
Christiaan Frederik,Haug,NL-HaNA/2.01.15/73//62//|NL-HaNA/2.01.15/118//7//,39e190fe-001d-102e-86d7-0050569c51dd
Pieter,Huysers,NL-HaNA/2.01.15/72//143//|NL-HaNA/2.01.15/73//60//|NL-HaNA/2.01.15/118//5//|NL-HaNA/2.01.15/137//202//|NL-HaNA/2.01.15/137//435//|NL-HaNA/2.01.15/138//185//|NL-HaNA/2.01.15/138//408//,3a5eed60-001d-102e-86d7-0050569c51dd
Theodore,Muri,NL-HaNA/2.01.15/118//9//,3b8bcf1e-001d-102e-86d7-0050569c51dd
Schilperoort Tielman,Olivier,NL-HaNA/2.01.15/118//7//,3bae53a4-001d-102e-86d7-0050569c51dd
Onno Zwier,Sandick,NL-HaNA/2.01.15/67//2//|NL-HaNA/2.01.15/68//44//|NL-HaNA/2.01.15/69//13//|NL-HaNA/2.01.15/72//261//|NL-HaNA/2.01.15/74//26//|NL-HaNA/2.01.15/118//1//|NL-HaNA/2.01.15/118//9//|NL-HaNA/2.01.15/136//8//,3c533e50-001d-102e-86d7-0050569c51dd
Pieter Martinus,Schucan,NL-HaNA/2.01.15/71//26//|NL-HaNA/2.01.15/72//274//|NL-HaNA/2.01.15/73//126//|NL-HaNA/2.01.15/118//4//|NL-HaNA/2.01.15/137//439//|NL-HaNA/2.01.15/138//190//|NL-HaNA/2.01.15/138//412//|NL-HaNA/2.01.15/140//80//,3c8b8940-001d-102e-86d7-0050569c51dd
François,Watrigant,NL-HaNA/2.01.15/72//328//|NL-HaNA/2.01.15/73//157//|NL-HaNA/2.01.15/118//2//|NL-HaNA/2.01.15/138//149//|NL-HaNA/2.01.15/138//369//|NL-HaNA/2.01.15/140//95//,3d63c6f2-001d-102e-86d7-0050569c51dd
Philippe Joseph,Wauthier,NL-HaNA/2.01.15/118//8//,3d641846-001d-102e-86d7-0050569c51dd
Jan,Woestenberg,NL-HaNA/2.01.15/68//101//|NL-HaNA/2.01.15/71//25//|NL-HaNA/2.01.15/72//338//|NL-HaNA/2.01.15/73//152//|NL-HaNA/2.01.15/118//2//|NL-HaNA/2.01.15/137//205//|NL-HaNA/2.01.15/137//438//|NL-HaNA/2.01.15/138//188//|NL-HaNA/2.01.15/138//411//|NL-HaNA/2.01.15/140//95//,3d96c8d6-001d-102e-86d7-0050569c51dd
Philip Julius,Zuylen van Nyevelt,NL-HaNA/2.01.15/71//35//|NL-HaNA/2.01.15/72//348//|NL-HaNA/2.01.15/114//3//|NL-HaNA/2.01.15/118//1//|NL-HaNA/2.01.15/138//156//|NL-HaNA/2.01.15/138//374//,3db7c5d6-001d-102e-86d7-0050569c51dd
Onno,Zwier van Sandick,NL-HaNA/2.01.15/72//261//|NL-HaNA/2.01.15/118//1//|NL-HaNA/2.01.15/118//9//|NL-HaNA/2.01.15/137//74//|NL-HaNA/2.01.15/137//326//,3dbba318-001d-102e-86d7-0050569c51dd
