,Baerle,NL-HaNA/2.01.15/72//11//|NL-HaNA/2.01.15/84//17//,38363e6c-001d-102e-86d7-0050569c51dd
Bartholomeus Franciscus Johannes(de),Barghon,NL-HaNA/2.01.15/72//12//|NL-HaNA/2.01.15/84//17//,383d3906-001d-102e-86d7-0050569c51dd
Abraham,Blom,NL-HaNA/2.01.15/72//25//|NL-HaNA/2.01.15/84//16//|NL-HaNA/2.01.15/126//14//|NL-HaNA/2.01.15/135//7//|NL-HaNA/2.01.15/135//99//,3879a9cc-001d-102e-86d7-0050569c51dd
Frans,Boninghausen,NL-HaNA/2.01.15/84//18//,388c7016-001d-102e-86d7-0050569c51dd
Nanning Jacques,Boon,NL-HaNA/2.01.15/72//31//|NL-HaNA/2.01.15/83//7//|NL-HaNA/2.01.15/84//21//,389131be-001d-102e-86d7-0050569c51dd
Barthold Theodorus Allard,Bouritius,NL-HaNA/2.01.15/72//33//|NL-HaNA/2.01.15/84//22//|NL-HaNA/2.01.15/108//11//,389fce72-001d-102e-86d7-0050569c51dd
Bernardus Gerhardus Franciscus,Broek,NL-HaNA/2.01.15/72//39//|NL-HaNA/2.01.15/84//11//,38b4dbe6-001d-102e-86d7-0050569c51dd
Alexander Pierre Philippe Corneille Robert Emerence,Ceva,NL-HaNA/2.01.15/72//53//|NL-HaNA/2.01.15/84//12//|NL-HaNA/2.01.15/84//23//,38d78d3a-001d-102e-86d7-0050569c51dd
Johannes,Dionant,NL-HaNA/2.01.15/21//97//|NL-HaNA/2.01.15/72//70//|NL-HaNA/2.01.15/84//12//,390d9a4c-001d-102e-86d7-0050569c51dd
Frans Willem Roedolff,Flugi,NL-HaNA/2.01.15/72//95//|NL-HaNA/2.01.15/84//20//|NL-HaNA/2.01.15/145//19//,39652c30-001d-102e-86d7-0050569c51dd
Jacobus Sappius,Grevestein,NL-HaNA/2.01.15/72//111//|NL-HaNA/2.01.15/84//14//,39aff94a-001d-102e-86d7-0050569c51dd
Jan Dirk,Hagedoorn,NL-HaNA/2.01.15/72//120//|NL-HaNA/2.01.15/84//15//,39cc2b92-001d-102e-86d7-0050569c51dd
Ernestus Johannes Christian,Hoising,NL-HaNA/2.01.15/72//137//|NL-HaNA/2.01.15/84//15//,3a3f4104-001d-102e-86d7-0050569c51dd
Cornelis,Hoynk van Papendrecht,NL-HaNA/2.01.15/72//140//|NL-HaNA/2.01.15/84//4//,3a52e268-001d-102e-86d7-0050569c51dd
